iter	RMSE
0	0.3244364141
1	0.3240426852
2	0.323602742
3	0.3232679999
4	0.3230253774
5	0.3228059531
6	0.3225363292
7	0.3223116446
8	0.3221004546
9	0.3219939313
10	0.3218189832
11	0.3217387759
12	0.3216708717
13	0.3216132785
14	0.3214487943
15	0.32129625
16	0.3212561585
17	0.3211641906
18	0.3211016969
19	0.3210773882
20	0.3209913392
21	0.320933774
22	0.3209161603
23	0.3208367228
24	0.3207463807
25	0.3206873527
26	0.3206454522
27	0.3206083771
28	0.3205373534
29	0.3205005661
30	0.3204743961
31	0.3204358675
32	0.3203912576
33	0.3203702682
34	0.3203399083
35	0.3203315086
36	0.3202815431
37	0.3202466937
38	0.3202201204
39	0.3201922741
40	0.3201864395
41	0.320152509
42	0.3201359866
43	0.3201072582
44	0.3200835575
45	0.3200587887
46	0.3200372033
47	0.3200172434
48	0.3199948759
49	0.3199673245
50	0.3199506558
51	0.3199330289
52	0.3199155926
53	0.3198957345
54	0.3198795818
55	0.319862375
56	0.3198529916
57	0.3198391075
58	0.3198230067
59	0.3198044425
60	0.319778927
61	0.3197632609
62	0.3197483467
63	0.3197321592
64	0.3197252077
65	0.3197127002
66	0.3196982353
67	0.3196829348
68	0.3196676883
69	0.3196575738
70	0.319646145
71	0.3196308283
72	0.3196162912
73	0.3196003981
74	0.3195887619
75	0.319575414
76	0.319567446
77	0.3195525363
78	0.3195408025
79	0.3195275073
80	0.3195202912
81	0.3195160327
82	0.319505352
83	0.3194981491
84	0.3194882209
85	0.3194776899
86	0.3194737321
87	0.3194602013
88	0.3194461905
89	0.3194369319
90	0.3194272757
91	0.3194180302
92	0.3194112774
93	0.3193984015
94	0.3193903058
95	0.3193832647
96	0.3193724562
97	0.3193533727
98	0.3193476871
99	0.3193396312
100	0.3193322602
101	0.3193176821
102	0.3193118589
103	0.3193025415
104	0.3192907574
105	0.3192824123
106	0.3192732174
107	0.3192665027
108	0.3192560191
109	0.3192470428
110	0.3192380524
111	0.3192302679
112	0.3192187141
113	0.3192065705
114	0.3191996762
115	0.3191949474
116	0.319190287
117	0.319180692
118	0.3191726319
119	0.3191614873
120	0.3191528372
121	0.3191445845
122	0.3191362631
123	0.3191310672
124	0.3191224986
125	0.3191159178
126	0.3191069649
127	0.3191015903
128	0.3190921022
129	0.3190821203
130	0.3190721792
131	0.3190672153
132	0.3190550797
133	0.3190454669
134	0.3190395838
135	0.3190316436
136	0.3190251981
137	0.3190148849
138	0.3190079315
139	0.3190003745
140	0.3189913635
141	0.3189854521
142	0.3189775654
143	0.318966263
144	0.3189551249
145	0.3189440413
146	0.3189370178
147	0.3189302822
148	0.3189225588
149	0.3189184844
150	0.3189124618
151	0.3189057806
152	0.318901459
153	0.3188960261
154	0.3188877256
155	0.3188756929
156	0.318870479
157	0.3188662941
158	0.3188580889
159	0.3188498423
160	0.3188408682
161	0.3188332249
162	0.3188267479
163	0.3188216842
164	0.318812723
165	0.3188067122
166	0.3188009757
167	0.3187918218
168	0.3187868948
169	0.3187776582
170	0.3187737603
171	0.3187669253
172	0.3187622449
173	0.318753735
174	0.3187476544
175	0.3187394462
