iter	Passed	Remaining
0	113	45369
1	181	36195
2	249	33040
3	302	29960
4	357	28241
5	406	26718
6	478	26856
7	547	26815
8	607	26377
9	665	25936
10	729	25782
11	777	25139
12	834	24831
13	898	24770
14	958	24609
15	1041	24990
16	1096	24702
17	1166	24747
18	1223	24530
19	1281	24348
20	1329	24000
21	1394	23961
22	1444	23681
23	1502	23538
24	1558	23380
25	1615	23236
26	1659	22921
27	1711	22739
28	1775	22709
29	1829	22558
30	1882	22412
31	1939	22299
32	2003	22282
33	2044	22009
34	2087	21769
35	2140	21641
36	2198	21572
37	2243	21373
38	2298	21275
39	2351	21166
40	2390	20934
41	2450	20891
42	2496	20723
43	2546	20604
44	2597	20488
45	2644	20354
46	2690	20204
47	2748	20157
48	2789	19981
49	2837	19860
50	2893	19801
51	2970	19877
52	3019	19771
53	3065	19638
54	3109	19503
55	3155	19385
56	3212	19333
57	3265	19252
58	3299	19071
59	3336	18905
60	3390	18842
61	3429	18693
62	3476	18594
63	3520	18481
64	3567	18388
65	3605	18245
66	3650	18144
67	3703	18083
68	3744	17964
69	3786	17850
70	3829	17745
71	3868	17625
72	3910	17516
73	3947	17390
74	3994	17310
75	4031	17187
76	4082	17126
77	4130	17050
78	4168	16937
79	4206	16827
80	4267	16805
81	4315	16737
82	4350	16614
83	4403	16566
84	4442	16465
85	4481	16364
86	4518	16254
87	4572	16211
88	4611	16114
89	4658	16047
90	4714	16008
91	4755	15920
92	4798	15840
93	4845	15774
94	4882	15676
95	4916	15567
96	4954	15477
97	5000	15410
98	5051	15359
99	5093	15281
100	5138	15212
101	5182	15139
102	5221	15057
103	5265	14985
104	5303	14901
105	5348	14834
106	5387	14752
107	5423	14663
108	5466	14594
109	5505	14514
110	5545	14437
111	5592	14381
112	5633	14307
113	5682	14257
114	5725	14188
115	5762	14107
116	5799	14027
117	5845	13968
118	5904	13941
119	5942	13866
120	5982	13795
121	6018	13714
122	6062	13653
123	6107	13595
124	6151	13534
125	6198	13480
126	6246	13426
127	6288	13363
128	6325	13288
129	6371	13233
130	6413	13170
131	6457	13111
132	6503	13055
133	6542	12986
134	6582	12920
135	6625	12861
136	6663	12792
137	6717	12753
138	6755	12684
139	6795	12620
140	6833	12552
141	6873	12487
142	6909	12417
143	6957	12369
144	7001	12312
145	7045	12257
146	7080	12186
147	7117	12118
148	7156	12055
149	7195	11993
150	7239	11938
151	7279	11877
152	7319	11816
153	7355	11750
154	7397	11693
155	7441	11638
156	7488	11590
157	7528	11531
158	7569	11472
159	7611	11416
160	7649	11355
161	7680	11284
162	7720	11225
163	7752	11156
164	7799	11108
165	7838	11048
166	7883	10999
167	7921	10938
168	7960	10880
169	7996	10818
170	8042	10769
171	8084	10717
172	8126	10663
173	8169	10611
174	8206	10551
175	8243	10491
176	8279	10431
177	8315	10371
178	8345	10303
179	8383	10246
180	8425	10193
181	8467	10142
182	8507	10088
183	8546	10033
184	8589	9982
185	8634	9934
186	8669	9874
187	8715	9827
188	8769	9790
189	8804	9730
190	8842	9675
191	8880	9620
192	8915	9561
193	8948	9501
194	8983	9443
195	9021	9389
196	9057	9333
197	9093	9277
198	9138	9230
199	9182	9182
200	9234	9142
201	9279	9095
202	9316	9041
203	9359	8992
204	9402	8943
205	9439	8889
206	9480	8838
207	9519	8787
208	9552	8730
209	9584	8671
210	9623	8620
211	9665	8571
212	9697	8513
213	9730	8456
214	9771	8408
215	9805	8352
216	9842	8299
217	9883	8251
218	9931	8208
219	9976	8162
220	10011	8108
221	10046	8055
222	10081	8001
223	10137	7965
224	10172	7912
225	10204	7856
226	10237	7802
227	10271	7748
228	10309	7698
229	10355	7654
230	10394	7604
231	10432	7554
232	10470	7504
233	10510	7456
234	10553	7409
235	10586	7357
236	10622	7305
237	10665	7259
238	10701	7208
239	10734	7156
240	10781	7112
241	10817	7062
242	10856	7014
243	10906	6973
244	10950	6927
245	10989	6879
246	11024	6829
247	11076	6788
248	11111	6738
249	11149	6689
250	11186	6640
251	11218	6588
252	11258	6541
253	11291	6490
254	11328	6441
255	11368	6394
256	11406	6346
257	11449	6301
258	11486	6253
259	11522	6204
260	11555	6153
261	11595	6107
262	11637	6062
263	11686	6020
264	11718	5969
265	11760	5924
266	11798	5877
267	11846	5834
268	11880	5785
269	11913	5736
270	11946	5686
271	11996	5645
272	12033	5597
273	12070	5550
274	12110	5504
275	12154	5460
276	12205	5419
277	12243	5373
278	12288	5329
279	12323	5281
280	12365	5236
281	12402	5189
282	12435	5141
283	12470	5093
284	12513	5049
285	12551	5002
286	12589	4956
287	12632	4912
288	12671	4866
289	12706	4819
290	12740	4772
291	12779	4726
292	12821	4682
293	12858	4636
294	12892	4588
295	12926	4541
296	12965	4496
297	13007	4452
298	13048	4407
299	13094	4364
300	13133	4319
301	13173	4274
302	13214	4230
303	13256	4186
304	13292	4140
305	13329	4094
306	13380	4053
307	13421	4009
308	13455	3962
309	13501	3919
310	13534	3873
311	13577	3829
312	13618	3785
313	13649	3738
314	13686	3693
315	13736	3651
316	13775	3606
317	13808	3560
318	13845	3515
319	13879	3469
320	13922	3426
321	13963	3382
322	14003	3338
323	14048	3295
324	14081	3249
325	14115	3204
326	14153	3159
327	14187	3114
328	14221	3069
329	14264	3025
330	14299	2980
331	14335	2936
332	14375	2892
333	14411	2847
334	14448	2803
335	14485	2759
336	14526	2715
337	14565	2671
338	14608	2628
339	14659	2587
340	14699	2543
341	14746	2500
342	14790	2457
343	14830	2414
344	14861	2369
345	14895	2324
346	14939	2281
347	14982	2238
348	15017	2194
349	15058	2151
350	15102	2108
351	15139	2064
352	15175	2020
353	15206	1976
354	15252	1933
355	15287	1889
356	15326	1846
357	15362	1802
358	15399	1758
359	15445	1716
360	15485	1672
361	15517	1628
362	15559	1585
363	15591	1542
364	15616	1497
365	15660	1454
366	15695	1411
367	15738	1368
368	15777	1325
369	15819	1282
370	15856	1239
371	15890	1196
372	15928	1152
373	15968	1110
374	16019	1067
375	16051	1024
376	16094	981
377	16139	939
378	16179	896
379	16233	854
380	16272	811
381	16304	768
382	16359	726
383	16395	683
384	16437	640
385	16474	597
386	16504	554
387	16535	511
388	16571	468
389	16608	425
390	16652	383
391	16686	340
392	16714	297
393	16751	255
394	16793	212
395	16841	170
396	16874	127
397	16915	85
398	16949	42
399	16981	0
